ttrip_id,oeast,onrth,deast,denrth,expan_fac,expan_fac/10,choice,av1,autodis,autotime,num_cars,parking_fare,congcharg,av2,av3,walktime,walkdis,av4,biketime,bikedis,av5,bus_transittime,bus_transitwalktime,bus_transitinvehtime,bus_transitnumtransfers,bus_fare,av6,rail_transittime,rail_transitwalktime,rail_transitinvehtime,rail_transitnumtransfers,rail_fare,av8,pnk_transittime,pnk_fare,pnk_transitnumtransfers,pnk_transitwalktime
60690710301.00,546084,169480,546388,166264,554.17,55.417,1,1,5666,779,1,0.47,0,1,1,3250,4343,1,1110,4475,1,1005,238,766,0,1.3,0,0,0,0,0,0,1,1005,1.3,0,238
90690110101.00,544122,168405,544822,166769,301.67,30.167,1,1,2300,327,2,0.47,0,1,1,1441,1943,1,372,1943,1,1029,801,228,0,1.3,0,0,0,0,0,0,1,1029,1.3,0,801
70672410102.00,548852,164218,544441,165280,407.22,40.722,1,1,6167,692,1,0.47,0,1,1,4037,5531,1,1222,5699,1,2176,960,1223,0,1.3,0,0,0,0,0,0,1,2176,1.3,0,960
70711810101.00,545936,165374,543802,164935,508.92,50.892,1,1,2871,407,3,0.47,0,1,1,2208,2851,1,699,2866,1,1243,497,773,0,1.3,0,0,0,0,0,0,1,1243,1.3,0,497
90710610201.00,544962,165743,547318,164940,351.73,35.173,1,1,3035,411,1,0.47,0,1,1,2266,3035,1,790,3403,1,1313,448,860,0,1.3,0,0,0,0,0,0,1,1313,1.3,0,448
90660310101.00,542054,158955,541821,159770,319.47,31.947,1,1,1674,239,3,0.47,0,1,1,1216,1629,1,408,1674,1,794,705,108,0,1.3,0,0,0,0,0,0,1,794,1.3,0,705
80712510101.00,546196,165709,546406,166572,298.45,29.845,1,1,1061,227,2,0.47,0,1,1,779,1054,1,270,1061,1,502,373,109,0,1.3,0,0,0,0,0,0,1,502,1.3,0,373
90710810102.00,544014,162501,545236,165726,322.87,32.287,1,1,4542,475,2,0.47,0,1,1,2984,4089,1,977,4671,1,2799,2036,762,0,1.3,0,0,0,0,0,0,1,2799,1.3,0,2036
90673010301.00,544272,165750,545157,166602,183.54,18.354,1,1,2279,297,1,0.47,0,1,1,1589,2187,1,467,2400,1,912,744,167,0,1.3,0,0,0,0,0,0,1,912,1.3,0,744
50783310101.00,544886,166174,541083,160848,549.67,54.967,1,1,8815,1007,1,0.47,0,1,1,6490,8482,1,2053,8756,1,1662,846,816,0,1.3,0,0,0,0,0,0,1,1662,1.3,0,846
90672310201.00,544342,165212,546870,168529,224.45,22.445,1,1,5910,750,2,0.47,0,1,1,3892,5377,1,1214,6489,1,2736,1183,1552,0,1.3,0,0,0,0,0,0,1,2736,1.3,0,1183
60811710101.00,547352,168918,546904,168178,327.55,32.755,1,1,1358,294,1,0.47,0,1,1,1019,1358,1,345,1358,1,707,569,147,0,1.3,0,0,0,0,0,0,1,707,1.3,0,569
80810110401.00,546064,167466,544209,169505,409.55,40.955,1,1,3969,481,1,0.47,0,1,1,2974,3929,1,849,3954,1,1638,1334,303,0,1.3,0,0,0,0,0,0,1,1638,1.3,0,1334
80811210201.00,545921,168452,542533,169755,807.86,80.786,1,1,4755,647,1,0.47,0,1,1,3626,4755,1,1232,5629,1,2445,1683,475,1,1.3,1,1963,1662,300,0,1.45,1,2204,1.375,0.5,1672
50780910201.00,543623,167114,545726,164646,495.52,49.552,1,1,5218,675,2,0.47,0,1,1,3288,4341,1,1080,5142,1,2033,1392,641,0,1.3,0,0,0,0,0,0,1,2033,1.3,0,1392
70672410401.00,544441,165280,548852,164218,491.15,49.115,1,1,5823,669,1,0.47,0,1,1,4187,5531,1,1346,5901,1,2209,1254,950,0,1.3,0,0,0,0,0,0,1,2209,1.3,0,1254
90680810301.00,545995,163449,546442,166282,302.34,30.234,1,1,4182,631,2,0.47,0,1,1,2884,3922,1,811,4005,1,1449,813,630,0,1.3,0,0,0,0,0,0,1,1449,1.3,0,813
60811010301.00,545915,168524,544822,166769,334.26,33.426,1,1,3230,376,2,0.47,0,1,1,2268,3084,1,637,3085,1,1579,1433,146,0,1.3,0,0,0,0,0,0,1,1579,1.3,0,1433
60660810401.00,543018,159996,542587,159426,370.97,37.097,1,1,2683,393,3,0.47,0,1,1,1980,2683,1,572,2683,1,779,526,282,0,1.3,0,0,0,0,0,0,1,779,1.3,0,526
